,Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous
10650,25170.37039783255,23,4,Retired,Tier_2,5034.074079566511,0.0,571.8264218794626,3124.2330373479235,2002.8253353396772,758.940471741254,815.7236807886103,1947.475600106905,951.1202587456628,1994.4121705760208,486.5052749214588,6.268934727757069,1577.9140909748096,7483.234066819063,489.4385524966896,335.61802370934504,151.46137886561726,144.63916950844006,424.4439756077762,34.479267476519325,86.61441066066774,104.55304888614856
2041,21623.29987373365,48,1,Self_Employed,Tier_2,4324.65997474673,0.0,468.5882772432532,2549.652415449182,1454.719436362931,813.9467836058185,947.0119914454124,1045.7941025782447,756.7676941329757,1451.141707645494,376.7439957472539,9.121335330959193,1972.3336911021213,7434.273494776351,453.756847283873,415.8759277775171,219.8015468273528,262.8355747666521,178.93375684328376,13.450726164817617,25.24516119870744,23.96937315315794
8668,40819.93293763488,30,2,Retired,Tier_2,8163.986587526975,4492.850513560182,1202.6759883402312,6060.606478939432,3013.018467750364,1278.0913877285604,1736.6384145303184,2735.2042490263175,1705.2963459372752,2325.2206427009583,615.9078384916728,10.215034755223105,4169.770336638166,7490.436023102586,560.1734934597501,824.411530890188,106.53902358037163,261.9506243933808,357.91009255824184,18.050820691989347,64.52064591696221,94.39211989191767
1114,33836.24298853197,37,4,Retired,Tier_2,6767.248597706395,2446.775990619753,1314.6583280431712,4924.689606224198,1691.818820577832,1333.9027550335798,1503.010363742622,2290.298683393427,1335.7369700216716,2818.323229040288,866.3438837359029,8.281444967270565,2802.12984208722,6543.435760393128,1073.9137441872565,215.44159983692177,261.65270844303905,163.46348513681926,369.0027922710317,21.216537413654695,11.425700092680117,157.7929512045746
13902,28898.73488457589,22,2,Student,Tier_2,5779.7469769151785,0.0,697.131090383504,3498.144911976459,2168.369080134319,603.5380609573718,1029.3255866629197,2191.883559671752,1257.8772454489697,1741.0070520322722,359.2892386761072,9.71066334919318,2806.2588568170154,9572.422081717035,898.1953218279101,360.6540214555373,120.0786097595935,284.0463534601891,464.30481380878587,24.00884709616562,40.08844908529061,105.0619961863108
11963,13587.991306961654,41,1,Professional,Tier_1,4076.397392088496,0.0,444.1893454870183,1491.092772110649,965.8699653068562,462.8301334424147,374.35349306119736,700.3544608178084,487.95367792320377,1185.6281230068932,329.2786595680934,8.852478494360493,1202.8740082643535,3070.0432841490237,362.4667251695981,55.46538424907765,136.06705778351017,92.4441180513929,133.27849656079962,9.485290478863105,15.467317597740983,60.62458195819299
11072,12293.815997651232,41,1,Self_Employed,Tier_2,2458.7631995302468,0.0,271.78581702283384,1443.5172221762316,866.568389585382,387.90202322829697,599.7388136188431,529.9760172353953,613.3141426734467,830.6455778393683,329.3652816655007,6.526150405242303,802.312922550459,3962.239513075687,235.311154006712,96.45361811638288,77.1854127542542,108.48895399431288,97.96288815760433,0.7958295813479227,6.413734966861936,41.32617491998364
3002,21548.64537456048,62,4,Self_Employed,Tier_2,4309.729074912097,4284.721224031523,635.1290026552687,3036.614115935153,1101.4700345539295,571.192135318725,1002.3541145999068,1450.0723640700655,1034.173900578245,2024.0639623439092,402.4402586350036,6.55530425745377,1412.5792676621782,1696.6851869266577,399.835929706141,259.4141945997362,83.7595299909135,213.02879945906483,151.86719252210077,26.642967718049324,89.50454279347511,53.839956629062286
19771,18849.071208224887,21,4,Retired,Tier_2,3769.8142416449778,974.3478928770386,548.2865923646655,2672.798843477897,1403.4371859122848,535.7268012108822,741.7793826053858,828.8296687130551,596.7586691675408,1468.8761207962048,399.1499784885032,5.5008573056155345,1036.8605105983129,4909.265830966451,202.9705718295017,407.9922322538184,67.92361870994836,211.7840023221129,204.36295535922503,20.532962531597132,19.779595888174,42.908719314417475
8115,26400.912746056787,18,2,Professional,Tier_3,3960.136911908518,0.0,610.7881272330475,3652.904538218165,1540.5148542793418,748.5927572867856,545.6283499839698,1127.7416619389194,1156.401745932806,2555.2491947344142,273.24491773982413,6.000657591858854,1584.2283750162885,10229.709686800996,284.41142555395066,335.9880942377294,157.2470142982502,155.18532961858526,111.88704506211968,48.32674567577816,77.42508392154468,46.30848991344552
